EOM Date,Fund 1,Fund 2,Market Beta,Value,Size,High-Yield Spread,Term Spread,Momentum,Bid-Ask Spread
9-Mar,6.97%,-1.45%,7.24%,1.00%,0.56%,4.13%,4.34%,-2.10%,-26.03%
9-Apr,19.37%,3.28%,10.91%,4.66%,6.02%,11.07%,-5.10%,-0.89%,-13.56%
9-May,13.87%,6.77%,8.62%,0.64%,0.46%,3.47%,-2.89%,1.61%,-25.54%
9-Jun,-2.74%,-1.13%,-0.61%,-1.45%,1.54%,1.24%,0.83%,-0.07%,-28.35%
9-Jul,12.87%,0.59%,8.37%,1.23%,0.54%,3.20%,0.42%,2.93%,9.79%
9-Aug,2.40%,-1.83%,3.91%,3.57%,2.21%,-0.27%,1.60%,1.11%,-17.05%
9-Sep,8.12%,1.45%,3.81%,-1.13%,1.76%,4.50%,1.66%,2.31%,-18.16%
9-Oct,-2.69%,0.60%,-1.85%,-1.78%,-2.11%,0.93%,-1.64%,-1.38%,-1.45%
9-Nov,5.75%,6.17%,3.87%,-0.36%,-1.46%,-0.02%,1.20%,-0.12%,-6.59%
9-Dec,2.92%,0.47%,1.69%,-1.67%,3.09%,4.98%,-4.92%,1.01%,6.25%
10-Jan,-6.18%,-3.44%,-4.19%,1.21%,1.86%,-0.19%,1.86%,-2.93%,-3.30%
10-Feb,5.37%,2.30%,1.23%,-1.41%,1.05%,-0.50%,0.07%,0.85%,-5.85%
10-Mar,6.01%,3.47%,5.93%,0.13%,1.54%,2.71%,-1.66%,0.60%,0.75%
10-Apr,-0.82%,1.08%,-0.16%,-0.45%,3.90%,0.49%,2.57%,-0.48%,5.04%
10-May,-7.85%,-4.66%,-9.91%,-0.45%,0.01%,-3.07%,3.83%,-3.63%,19.06%
10-Jun,-5.80%,-1.27%,-3.56%,-0.60%,-0.81%,-0.80%,4.22%,0.30%,-6.84%
10-Jul,9.06%,3.47%,8.02%,0.75%,-0.42%,1.83%,-0.20%,-2.19%,-4.59%
10-Aug,-3.81%,-1.22%,-3.92%,-0.47%,-0.37%,-2.24%,6.69%,-1.01%,-8.44%
10-Sep,9.43%,5.79%,9.11%,-2.46%,2.32%,2.93%,-1.80%,-0.67%,-2.27%
10-Oct,5.67%,0.93%,3.65%,-1.07%,0.39%,2.60%,-3.54%,1.08%,-2.47%
10-Nov,0.18%,-0.36%,-2.35%,-2.39%,2.69%,-0.39%,-1.14%,-0.86%,3.23%
10-Dec,7.14%,2.35%,7.25%,1.16%,1.66%,2.79%,-3.54%,2.22%,2.16%
11-Jan,1.00%,0.61%,2.19%,2.30%,-1.21%,2.43%,-2.38%,0.74%,-6.04%
11-Feb,1.68%,0.20%,3.33%,0.67%,0.28%,0.88%,1.27%,1.18%,-0.95%
11-Mar,-0.28%,1.75%,-1.24%,-0.97%,1.89%,0.55%,0.07%,-5.08%,22.02%
11-Apr,2.44%,0.69%,4.02%,-0.25%,-0.14%,-0.12%,1.45%,0.48%,0.20%
11-May,-1.09%,0.18%,-2.45%,-1.33%,0.28%,-0.92%,3.12%,-1.45%,-7.38%
11-Jun,-1.22%,0.02%,-1.73%,-0.10%,-0.68%,-0.23%,-1.98%,-1.78%,0.25%
11-Jul,-1.55%,-1.10%,-1.89%,-2.45%,-0.30%,-1.09%,4.06%,-0.30%,-4.27%
11-Aug,-8.53%,-1.88%,-7.26%,-0.64%,-1.21%,-4.78%,8.53%,-0.08%,1.65%
11-Sep,-14.19%,-2.53%,-8.85%,1.68%,-2.66%,-4.07%,10.03%,2.06%,5.09%
11-Oct,15.75%,5.87%,10.26%,-1.63%,1.00%,4.96%,-3.86%,-2.44%,6.77%
11-Nov,0.18%,4.08%,-2.69%,-0.95%,0.00%,-0.74%,2.65%,0.22%,-8.07%
11-Dec,0.21%,0.31%,-0.17%,2.09%,-0.86%,0.61%,3.06%,0.20%,-1.32%
12-Jan,6.92%,0.81%,4.93%,-1.79%,2.30%,1.39%,-0.17%,0.01%,2.19%
12-Feb,2.39%,0.88%,4.66%,-0.74%,0.13%,1.75%,-1.97%,1.25%,-8.37%
12-Mar,-2.58%,2.55%,1.02%,-0.71%,-0.21%,1.15%,-3.71%,0.54%,-3.17%
12-Apr,-1.30%,2.23%,-1.37%,-1.31%,0.38%,-0.30%,4.17%,-1.31%,-3.58%
12-May,-9.83%,-0.01%,-8.99%,-0.35%,0.08%,-2.33%,7.39%,-1.74%,3.06%
12-Jun,-1.22%,1.57%,4.93%,2.09%,-1.58%,1.71%,-1.27%,-3.10%,-1.46%
12-Jul,3.72%,1.16%,1.20%,-0.57%,-1.63%,-0.89%,3.09%,-0.86%,4.55%
12-Aug,0.48%,-0.20%,2.29%,-0.61%,1.23%,1.12%,-1.08%,-0.97%,1.57%
12-Sep,5.34%,1.12%,2.52%,0.57%,0.65%,1.51%,-1.90%,0.46%,0.39%
12-Oct,0.91%,0.52%,-0.76%,1.66%,0.04%,-0.06%,-0.18%,0.30%,-7.80%
12-Nov,0.73%,2.19%,1.07%,-1.75%,-0.05%,0.83%,1.26%,-1.15%,6.49%
12-Dec,2.78%,-1.67%,1.75%,1.68%,1.24%,1.80%,-2.00%,1.86%,0.44%
13-Jan,3.90%,3.43%,5.00%,1.42%,0.93%,2.48%,-3.56%,3.15%,-9.11%
13-Feb,1.42%,1.94%,-0.02%,-1.07%,1.11%,-0.30%,1.16%,0.76%,1.12%
13-Mar,2.41%,3.70%,2.09%,-0.53%,1.38%,1.04%,-0.09%,0.50%,8.00%
13-Apr,0.56%,1.94%,2.90%,1.56%,-1.47%,0.35%,3.92%,0.52%,-1.93%
13-May,0.71%,0.52%,-0.28%,-0.37%,1.29%,1.93%,-6.24%,-0.20%,-0.19%
13-Jun,-2.20%,-1.65%,-2.61%,0.24%,0.08%,-0.57%,-3.03%,-1.94%,7.89%
13-Jul,3.65%,1.46%,5.19%,-0.25%,1.12%,1.50%,-2.10%,0.73%,-1.53%
13-Aug,-3.26%,-1.07%,-2.33%,-1.05%,0.10%,-0.16%,-0.61%,-0.32%,-3.34%
13-Sep,3.33%,2.78%,4.82%,-0.84%,1.86%,0.26%,0.04%,-0.28%,5.40%
13-Oct,4.62%,2.23%,3.83%,0.85%,-1.06%,1.26%,1.25%,2.50%,-13.14%
13-Nov,2.79%,1.20%,1.59%,-0.53%,-0.07%,0.65%,-2.63%,1.49%,2.81%
13-Dec,0.45%,0.82%,2.00%,-0.56%,0.42%,0.86%,-1.83%,-0.49%,-1.45%
14-Jan,-3.86%,-4.74%,-3.77%,0.01%,2.31%,-0.88%,5.55%,-2.39%,0.38%
14-Feb,2.65%,3.02%,4.81%,-0.86%,0.61%,1.20%,0.77%,-1.52%,-1.36%
14-Mar,1.22%,-0.83%,-0.09%,2.11%,-0.75%,0.28%,0.79%,-1.25%,2.98%
14-Apr,2.04%,-0.38%,0.83%,1.19%,-2.53%,-0.20%,1.94%,0.02%,2.42%
14-May,1.80%,2.20%,1.63%,-1.57%,-0.67%,-0.24%,2.73%,1.19%,3.06%
14-Jun,1.50%,-0.13%,1.65%,0.07%,1.93%,0.80%,-0.17%,0.29%,1.14%
14-Jul,0.36%,-2.45%,-1.67%,-0.09%,-2.51%,-1.31%,0.71%,0.34%,-0.68%
14-Aug,1.18%,3.52%,2.00%,-1.11%,0.95%,0.00%,3.95%,0.48%,3.18%
14-Sep,-1.91%,0.16%,-2.88%,-0.44%,-2.50%,-0.95%,-1.86%,-2.02%,-1.02%
14-Oct,-1.29%,2.68%,0.57%,-1.12%,0.70%,0.04%,2.58%,-6.52%,3.12%
14-Nov,1.40%,2.85%,1.84%,-1.83%,-1.37%,-1.72%,2.68%,1.42%,-11.65%
14-Dec,0.04%,-0.30%,-1.71%,0.03%,2.29%,-2.01%,3.22%,-1.63%,11.04%
15-Jan,-0.61%,-2.41%,-1.88%,-2.15%,0.27%,-2.65%,8.34%,2.55%,0.67%
15-Feb,-0.46%,5.32%,5.68%,-0.96%,0.31%,3.91%,-5.31%,2.86%,0.34%
15-Mar,0.74%,-0.16%,-1.81%,-1.26%,1.89%,-1.02%,0.88%,-0.15%,-5.00%
15-Apr,2.42%,-2.29%,2.16%,1.46%,-1.19%,1.97%,-3.19%,0.74%,0.91%
15-May,-0.15%,3.33%,0.05%,-1.16%,1.60%,1.04%,-1.71%,0.34%,-2.73%
15-Jun,-0.52%,0.61%,-2.46%,-1.08%,1.04%,-0.01%,-3.95%,-0.47%,8.64%
15-Jul,-0.01%,5.98%,1.73%,-1.97%,-2.21%,-1.75%,3.53%,-1.83%,-1.59%
15-Aug,-1.06%,-1.67%,-6.81%,0.15%,1.39%,-1.72%,0.10%,-0.85%,2.27%
15-Sep,-3.41%,-0.39%,-3.86%,-0.32%,-0.28%,-3.88%,1.16%,0.94%,4.55%
15-Oct,6.08%,3.46%,7.83%,-0.56%,-2.27%,2.66%,-0.39%,-2.41%,-7.27%
15-Nov,-2.10%,1.52%,-0.67%,-0.88%,1.72%,-2.58%,-0.61%,-0.05%,1.36%
15-Dec,-1.04%,0.30%,-1.87%,-0.47%,-0.54%,-2.66%,0.11%,-1.43%,3.30%
16-Jan,-6.29%,-6.20%,-6.05%,0.43%,-1.93%,-2.66%,4.38%,-2.00%,9.43%
16-Feb,1.73%,-0.03%,-0.96%,-0.05%,1.64%,-0.39%,2.98%,0.42%,2.27%
16-Mar,4.01%,-0.43%,6.52%,0.04%,1.37%,2.69%,-0.19%,-2.31%,-10.23%
